"brokered_by","status","price","bed","bath","acre_lot","street","city","state","zip_code","house_size","prev_sold_date"
8035,"for_sale                      ",269900,3,3,"0.26",831804,"Omaha","Nebraska                      ","68147",1909,"2018-09-27"
11296,"for_sale                      ",289000,3,3,"0.23",82842,"Omaha","Nebraska                      ","68124",1862,"2004-12-28"
67256,"for_sale                      ",250000,3,3,"0.2",1635658,"Omaha","Nebraska                      ","68127",1909,"2015-09-10"
11472,"for_sale                      ",220000,3,2,"0.16",225911,"Omaha","Nebraska                      ","68137",1384,"1993-04-09"
67256,"for_sale                      ",30000,1,1,"0.14",1092262,"Omaha","Nebraska                      ","68111",400,"1993-08-05"
11158,"for_sale                      ",286000,3,2,"0.23",319606,"Omaha","Nebraska                      ","68144",1899,"2016-12-02"
71735,"for_sale                      ",318000,3,2,"0.13",1343808,"Omaha","Nebraska                      ","68104",1673,"2016-03-21"
22473,"for_sale                      ",550000,4,4,"0.26",1606076,"Omaha","Nebraska                      ","68132",3799,"2007-12-04"
11158,"for_sale                      ",320000,3,3,"0.22",393883,"Omaha","Nebraska                      ","68022",2698,"2008-02-29"
67256,"for_sale                      ",295000,3,3,"0.45",1262806,"Omaha","Nebraska                      ","68152",2924,"1996-04-11"
8035,"for_sale                      ",185000,3,2,"0.13",1543792,"Omaha","Nebraska                      ","68112",2014,"2003-07-17"
64962,"for_sale                      ",225000,3,3,"0.1",354422,"Omaha","Nebraska                      ","68164",1686,"2017-07-31"
11472,"for_sale                      ",172500,3,2,"0.07",407996,"Omaha","Nebraska                      ","68105",1728,"2021-09-07"
8035,"for_sale                      ",690000,3,3,"0.27",1338541,"Omaha","Nebraska                      ","68022",4004,NULL
8035,"for_sale                      ",465000,4,3,"0.28",406717,"Omaha","Nebraska                      ","68116",3230,"2007-06-01"
11296,"for_sale                      ",260000,3,2,"0.17",1318141,"Omaha","Nebraska                      ","68135",1542,"2018-04-09"
8035,"for_sale                      ",265000,3,2,"0.15",486868,"Omaha","Nebraska                      ","68116",1414,"2020-08-21"
67749,"for_sale                      ",270000,3,3,"0.18",305426,"Omaha","Nebraska                      ","68144",2065,"2002-12-18"
8035,"for_sale                      ",400000,3,2,"0.22",1263629,"Omaha","Nebraska                      ","68022",1715,"2016-09-15"
64854,"for_sale                      ",249900,3,3,"0.06",510492,"Omaha","Nebraska                      ","68118",1700,NULL
8035,"for_sale                      ",115000,4,3,"0.12",1152925,"Omaha","Nebraska                      ","68111",1960,"2018-04-05"
67258,"for_sale                      ",135000,3,1,"0.12",1201208,"Omaha","Nebraska                      ","68111",1258,"2019-04-17"
8035,"for_sale                      ",310000,4,3,"0.15",632315,"Omaha","Nebraska                      ","68104",2314,"2021-06-03"
8035,"for_sale                      ",150000,3,1,"0.19",1358759,"Omaha","Nebraska                      ","68104",1581,NULL
67749,"for_sale                      ",185000,2,2,"0.12",1255329,"Omaha","Nebraska                      ","68111",1254,"2005-08-08"
8035,"for_sale                      ",238000,2,2,"0.28",1218387,"Omaha","Nebraska                      ","68105",2102,NULL
11472,"for_sale                      ",114000,3,2,"0.07",407785,"Omaha","Nebraska                      ","68108",1608,NULL
40651,"for_sale                      ",89900,3,1,"0.15",369189,"Omaha","Nebraska                      ","68110",1404,NULL
67749,"for_sale                      ",149900,2,1,"0.16",1254356,"Omaha","Nebraska                      ","68104",968,"2001-03-12"
67749,"for_sale                      ",255000,3,1,"0.11",983393,"Omaha","Nebraska                      ","68132",1546,"2018-05-18"
71735,"for_sale                      ",380000,4,4,"0.06",100468,"Omaha","Nebraska                      ","68131",2459,NULL
8035,"for_sale                      ",295000,5,2,"0.15",1301221,"Omaha","Nebraska                      ","68132",1933,NULL
52721,"for_sale                      ",130000,4,2,"0.15",1051607,"Omaha","Nebraska                      ","68111",1196,"2016-07-11"
33718,"for_sale                      ",140000,4,2,"0.25",1287396,"Omaha","Nebraska                      ","68104",986,"2020-12-14"
11296,"for_sale                      ",499999,4,4,"0.18",37421,"Omaha","Nebraska                      ","68131",3321,"2016-11-04"
8035,"for_sale                      ",350000,2,2,"0.1",210484,"Omaha","Nebraska                      ","68108",1504,"2005-10-18"
